distributor_id,territory,prior_90d_sales_kidr,tenure_years,coached,assignment_propensity,estimated_propensity,ipw_ate,potential_sales_no_coaching_kidr,potential_sales_coaching_kidr,observed_next_90d_sales_kidr,simulated_individual_effect_kidr,overlap_supported
D46-499,West Indonesia,120.650,4.766,1,0.706953,0.650799,1.536572,126.741,134.741,134.741,8.000,1
D46-500,Central Indonesia,62.819,2.006,0,0.162430,0.207447,1.261745,79.571,87.571,79.571,8.000,1
D46-501,East Indonesia,100.460,3.478,1,0.485539,0.468957,2.132391,122.326,130.326,130.326,8.000,1
D46-502,West Indonesia,106.134,3.629,1,0.541879,0.511378,1.955501,135.136,143.136,143.136,8.000,1
D46-503,Central Indonesia,106.758,6.999,1,0.689193,0.668354,1.496212,101.477,109.477,109.477,8.000,1
D46-504,East Indonesia,78.131,2.515,0,0.266449,0.296765,1.422000,94.644,102.644,94.644,8.000,1
D46-505,West Indonesia,71.840,7.772,1,0.428827,0.494653,2.021621,99.893,107.893,107.893,8.000,1
D46-506,Central Indonesia,93.872,5.519,1,0.519725,0.524771,1.905592,113.305,121.305,121.305,8.000,1
D46-507,East Indonesia,130.675,7.726,1,0.853748,0.807506,1.238381,137.725,145.725,145.725,8.000,1
D46-508,West Indonesia,99.558,6.066,1,0.593007,0.585280,1.708584,118.797,126.797,126.797,8.000,1
D46-509,Central Indonesia,121.960,2.961,0,0.646018,0.577501,2.366867,125.328,133.328,125.328,8.000,1
D46-510,East Indonesia,78.669,7.537,1,0.477534,0.525959,1.901289,103.146,111.146,111.146,8.000,1
D46-511,West Indonesia,123.720,2.231,1,0.629898,0.554222,1.804331,113.034,121.034,121.034,8.000,1
D46-512,Central Indonesia,53.373,5.999,0,0.222333,0.306302,1.441549,88.957,96.957,88.957,8.000,1
D46-513,East Indonesia,133.614,4.090,1,0.770775,0.693561,1.441834,149.289,157.289,157.289,8.000,1
D46-514,West Indonesia,99.768,6.340,1,0.606609,0.599102,1.669166,110.771,118.771,118.771,8.000,1
D46-515,Central Indonesia,128.832,5.689,0,0.791360,0.731325,3.721973,135.858,143.858,135.858,8.000,1
D46-516,East Indonesia,125.306,2.994,1,0.673626,0.599179,1.668951,108.822,116.822,116.822,8.000,1
D46-517,West Indonesia,126.262,2.005,1,0.641084,0.559245,1.788125,109.720,117.720,117.720,8.000,1
D46-518,Central Indonesia,125.360,4.060,1,0.714716,0.646968,1.545670,120.944,128.944,128.944,8.000,1
D46-519,East Indonesia,113.658,5.808,1,0.694972,0.656191,1.523946,123.910,131.910,131.910,8.000,1
D46-520,West Indonesia,85.605,7.049,1,0.516243,0.545842,1.832031,88.450,96.450,96.450,8.000,1
D46-521,Central Indonesia,101.702,5.688,1,0.594695,0.580806,1.721745,101.380,109.380,109.380,8.000,1
D46-522,East Indonesia,85.359,7.973,0,0.555447,0.587384,2.423561,124.434,132.434,124.434,8.000,1
D46-523,West Indonesia,76.651,2.772,0,0.265367,0.299266,1.427076,98.118,106.118,98.118,8.000,1
D46-524,Central Indonesia,97.321,6.862,1,0.608591,0.608240,1.644087,126.648,134.648,134.648,8.000,1
D46-525,East Indonesia,110.440,1.547,1,0.485969,0.439659,2.274488,118.716,126.716,126.716,8.000,1
D46-526,West Indonesia,87.439,3.807,1,0.388321,0.404708,2.470916,109.171,117.171,117.171,8.000,1
D46-527,Central Indonesia,83.370,2.382,1,0.298743,0.319160,3.133222,105.699,113.699,113.699,8.000,1
D46-528,East Indonesia,100.212,6.000,0,0.595661,0.586189,2.416561,123.437,131.437,123.437,8.000,1
D46-529,West Indonesia,53.777,6.485,1,0.240397,0.328460,3.044515,85.103,93.103,93.103,8.000,1
D46-530,Central Indonesia,113.706,5.978,0,0.701772,0.663701,2.973544,124.456,132.456,124.456,8.000,1
D46-531,East Indonesia,112.916,4.434,0,0.634177,0.590755,2.443522,112.143,120.143,112.143,8.000,1
D46-532,West Indonesia,123.618,7.974,0,0.826633,0.786736,4.689023,159.255,167.255,159.255,8.000,1
D46-533,Central Indonesia,85.777,3.876,0,0.377511,0.397919,1.660906,95.833,103.833,95.833,8.000,1
D46-534,East Indonesia,121.332,1.191,1,0.564882,0.490228,2.039867,104.682,112.682,112.682,8.000,1
D46-535,West Indonesia,109.986,5.777,1,0.665827,0.633929,1.577463,125.269,133.269,133.269,8.000,1
D46-536,Central Indonesia,113.959,2.789,0,0.572139,0.520184,2.084133,102.491,110.491,102.491,8.000,1
D46-537,East Indonesia,100.734,6.994,0,0.642127,0.634114,2.733089,126.436,134.436,126.436,8.000,1
D46-538,West Indonesia,142.503,6.016,1,0.866514,0.802756,1.245709,136.998,144.998,144.998,8.000,1
D46-539,Central Indonesia,107.996,6.300,1,0.671254,0.645398,1.549432,121.471,129.471,129.471,8.000,1
D46-540,East Indonesia,106.833,2.729,1,0.507593,0.473044,2.113967,104.986,112.986,112.986,8.000,1
D46-541,West Indonesia,95.757,5.440,1,0.532627,0.532722,1.877151,77.806,85.806,85.806,8.000,1
D46-542,Central Indonesia,99.867,3.514,1,0.481974,0.466985,2.141398,124.666,132.666,132.666,8.000,1
D46-543,East Indonesia,97.860,2.975,0,0.440434,0.429349,1.752384,107.959,115.959,107.959,8.000,1
D46-544,West Indonesia,111.260,3.328,0,0.572765,0.528951,2.122923,127.326,135.326,127.326,8.000,1
D46-545,Central Indonesia,104.018,2.105,0,0.455005,0.426432,1.743472,140.824,148.824,140.824,8.000,1
D46-546,East Indonesia,81.188,2.012,0,0.269677,0.292730,1.413887,86.229,94.229,86.229,8.000,1
D46-547,West Indonesia,109.740,5.039,0,0.633653,0.599384,2.496157,118.608,126.608,118.608,8.000,1
D46-548,Central Indonesia,125.904,6.989,1,0.812244,0.764096,1.308736,141.684,149.684,149.684,8.000,1
D46-549,East Indonesia,65.255,5.196,0,0.272734,0.337550,1.509548,104.409,112.409,104.409,8.000,1
D46-550,West Indonesia,110.771,7.850,1,0.748379,0.723552,1.382071,133.520,141.520,141.520,8.000,1
D46-551,Central Indonesia,85.506,7.746,1,0.546612,0.577795,1.730717,94.422,102.422,102.422,8.000,1
D46-552,East Indonesia,85.238,6.881,0,0.505477,0.535655,2.153572,97.962,105.962,97.962,8.000,1
D46-553,West Indonesia,84.170,2.100,0,0.293997,0.311899,1.453275,83.976,91.976,83.976,8.000,1
D46-554,Central Indonesia,106.417,6.275,1,0.657933,0.635256,1.574167,129.698,137.698,137.698,8.000,1
D46-555,East Indonesia,119.937,6.881,1,0.774932,0.732293,1.365573,137.984,145.984,145.984,8.000,1
D46-556,West Indonesia,95.709,1.419,0,0.355542,0.346740,1.530785,120.012,128.012,120.012,8.000,1
D46-557,Central Indonesia,87.458,5.726,1,0.472954,0.494715,2.021367,103.235,111.235,111.235,8.000,1
D46-558,East Indonesia,95.448,5.286,1,0.523024,0.523521,1.910143,102.318,110.318,110.318,8.000,1
D46-559,West Indonesia,101.330,7.801,1,0.679338,0.672150,1.487764,127.803,135.803,135.803,8.000,1
D46-560,Central Indonesia,67.094,2.933,1,0.210192,0.257684,3.880724,65.414,73.414,73.414,8.000,1
D46-561,East Indonesia,116.337,6.156,1,0.727083,0.685483,1.458824,131.279,139.279,139.279,8.000,1
D46-562,West Indonesia,77.653,6.944,0,0.442203,0.491521,1.966651,94.279,102.279,94.279,8.000,1
D46-563,Central Indonesia,85.234,3.377,0,0.352299,0.372297,1.593109,109.755,117.755,109.755,8.000,1
D46-564,East Indonesia,131.759,2.359,1,0.697661,0.608754,1.642699,132.650,140.650,140.650,8.000,1
D46-565,West Indonesia,53.948,7.578,1,0.279332,0.376735,2.654384,73.502,81.502,81.502,8.000,1
D46-566,Central Indonesia,83.007,7.828,1,0.528540,0.566384,1.765588,93.688,101.688,101.688,8.000,1
D46-567,East Indonesia,104.497,5.237,0,0.598701,0.576891,2.363455,112.922,120.922,112.922,8.000,1
D46-568,West Indonesia,88.596,4.744,0,0.439000,0.455312,1.835913,110.247,118.247,110.247,8.000,1
D46-569,Central Indonesia,79.992,7.520,1,0.488332,0.533356,1.874920,114.031,122.031,122.031,8.000,1
D46-570,East Indonesia,158.669,6.967,1,0.931341,0.879361,1.137189,159.715,167.715,167.715,8.000,1
D46-571,West Indonesia,100.509,2.776,1,0.454500,0.436257,2.292228,133.903,141.903,141.903,8.000,1
D46-572,Central Indonesia,109.442,1.687,1,0.483538,0.440088,2.272270,119.291,127.291,127.291,8.000,1
D46-573,East Indonesia,151.906,6.872,0,0.913225,0.858158,7.050105,144.625,152.625,144.625,8.000,1
D46-574,West Indonesia,118.213,1.495,1,0.551456,0.485255,2.060773,126.128,134.128,134.128,8.000,1
D46-575,Central Indonesia,107.782,1.952,1,0.480942,0.442307,2.260875,100.486,108.486,108.486,8.000,1
D46-576,East Indonesia,118.186,6.240,1,0.742635,0.698685,1.431261,141.173,149.173,149.173,8.000,1
D46-577,West Indonesia,65.792,7.354,1,0.360416,0.437521,2.285607,103.653,111.653,111.653,8.000,1
D46-578,Central Indonesia,100.318,2.017,1,0.419260,0.400064,2.499597,99.754,107.754,107.754,8.000,1
D46-579,East Indonesia,111.062,3.383,1,0.573491,0.530325,1.885637,120.010,128.010,128.010,8.000,1
D46-580,West Indonesia,112.120,5.711,0,0.679654,0.643292,2.803417,113.022,121.022,113.022,8.000,1
D46-581,Central Indonesia,91.996,4.385,0,0.452434,0.459396,1.849783,90.501,98.501,90.501,8.000,1
D46-582,East Indonesia,84.545,1.457,0,0.273157,0.288233,1.404954,81.528,89.528,81.528,8.000,1
D46-583,West Indonesia,73.543,5.608,0,0.350565,0.403767,1.677198,95.164,103.164,95.164,8.000,1
D46-584,Central Indonesia,115.623,4.096,1,0.642007,0.591528,1.690537,133.564,141.564,141.564,8.000,1
D46-585,East Indonesia,123.455,1.305,0,0.588029,0.508843,2.036008,119.429,127.429,119.429,8.000,1
D46-586,West Indonesia,98.953,7.404,1,0.644758,0.641853,1.557989,122.966,130.966,130.966,8.000,1
D46-587,Central Indonesia,120.229,6.710,1,0.771326,0.727326,1.374900,130.728,138.728,138.728,8.000,1
D46-588,East Indonesia,79.474,4.461,0,0.350822,0.387001,1.631324,93.059,101.059,93.059,8.000,1
D46-589,West Indonesia,63.978,5.920,0,0.290044,0.361565,1.566331,76.698,84.698,76.698,8.000,1
D46-590,Central Indonesia,98.139,7.867,1,0.657219,0.657247,1.521499,112.465,120.465,120.465,8.000,1
D46-591,East Indonesia,99.383,1.268,0,0.379104,0.361089,1.565164,109.046,117.046,109.046,8.000,1
D46-592,West Indonesia,139.338,4.830,1,0.824369,0.750208,1.332963,123.902,131.902,131.902,8.000,1
D46-593,Central Indonesia,115.561,5.162,1,0.684341,0.639016,1.564907,121.404,129.404,129.404,8.000,1
D46-594,East Indonesia,67.392,3.345,0,0.224579,0.274399,1.378167,84.920,92.920,84.920,8.000,1
D46-595,West Indonesia,73.409,5.125,1,0.330000,0.381117,2.623868,100.478,108.478,108.478,8.000,1
D46-596,Central Indonesia,96.442,6.513,1,0.586086,0.587054,1.703420,95.416,103.416,103.416,8.000,1
D46-597,East Indonesia,91.056,7.742,0,0.593999,0.610894,2.569995,106.327,114.327,106.327,8.000,1
D46-598,West Indonesia,61.788,3.393,1,0.193617,0.249224,4.012450,88.733,96.733,96.733,8.000,1
D46-599,Central Indonesia,102.488,6.363,1,0.630047,0.616276,1.622649,145.734,153.734,153.734,8.000,1
D46-600,East Indonesia,96.570,6.466,0,0.585121,0.585663,2.413494,107.695,115.695,107.695,8.000,1
